service_id,date,exception_type
8101,20190517,1
8101,20190524,1
3,20190527,1
1,20190527,2
8101,20190531,1
8101,20190607,1
8101,20190614,1
8101,20190621,1
8101,20190628,1
2,20190704,1
1,20190704,2
8101,20190705,1
8101,20190712,1
8101,20190719,1
8101,20190726,1
8101,20190802,1
8101,20190809,1
8101,20190816,1
8101,20190823,1
8101,20190830,1
3,20190902,1
1,20190902,2
8101,20190906,1
8101,20190913,1
