stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
952,20952,CENTURY BLVD & @20251 NORTH DRWY,,39.188568,-77.26162,,,,,,0
954,20954,CENTURY BLVD & @20250 NORTH DRWY,,39.188815,-77.262092,,,,,,0
956,20956,CENTURY BLVD & CENTURY XXII OFFICE COMPLEX,,39.186455,-77.260098,,,,,,0
958,20958,CESSNA AVE & CESSNA DR,,39.172615,-77.162224,,,,,,0
960,20960,CESSNA AVE & AIRPARK RD,,39.171002,-77.159789,,,,,,0
962,20962,CHALMERS RD & NEW HAMPSHIRE AVE,,39.029496,-76.984178,,,,,,0
964,20964,CHAPMAN AVE & THOMPSON AVE,,39.060715,-77.120506,,,,,,0
972,20972,CHENNAULT WAY & RICKENBACKER DR,,39.172922,-77.156952,,,,,,0
991,20991,CHRISTOPHER AVE & RUSSELL AVE,,39.158042,-77.212892,,,,,,0
992,20992,CHRISTOPHER AVE & GALLOP HILL RD,,39.159231,-77.21049,,,,,,0
994,20994,CHRISTOPHER AVE & FEATHERTREE WAY,,39.159386,-77.206227,,,,,,0
996,20996,CHRISTOPHER AVE & MONTGOMERY VILLAGE AVE,,39.158551,-77.204877,,,,,,0
998,20998,CHRISTOPHER AVE & MONTGOMERY VILLAGE AVE,,39.158592,-77.204633,,,,,,0
1000,21000,CHRISTOPHER AVE & HELLINGLY PL,,39.159641,-77.20623,,,,,,0
1001,21001,CHRISTOPHER AVE & RUSSELL AVE,,39.15805,-77.213218,,,,,,0
1002,21002,CHRISTOPHER AVE & VILLAGE OVERLOOK,,39.159438,-77.210524,,,,,,0
1018,21018,CLOPPER RD & GREAT SENECA HWY,,39.158708,-77.274792,,,,,,0
1020,21020,CLOPPER RD & TIMKO LN,,39.15794,-77.272636,,,,,,0
1022,21022,CLOPPER RD & METZ DR,,39.157695,-77.270988,,,,,,0
1024,21024,CLOPPER RD & MATENY RD,,39.156422,-77.266241,,,,,,0
1026,21026,CLOPPER RD & CINNAMON DR,,39.155972,-77.264259,,,,,,0
1028,21028,CLOPPER RD & ALLSPICE DR,,39.1553,-77.26075,,,,,,0
1032,21032,CLOPPER RD & GAME PRESERVE RD,,39.151093,-77.246353,,,,,,0
1034,21034,CLOPPER RD & STONERIDGE DR,,39.149143,-77.241013,,,,,,0
1036,21036,CLOPPER RD & LONGDRAFT RD,,39.148217,-77.237299,,,,,,0
1038,21038,CLOPPER RD & PHEASANT RUN DR,,39.14742,-77.23259,,,,,,0
1040,21040,CLOPPER RD & METROPOLITAN GROVE RD,,39.147004,-77.230253,,,,,,0
1042,21042,CLOPPER RD & TWELVE OAKS DR,,39.146068,-77.228447,,,,,,0
1044,21044,CLOPPER RD & @716,,39.14479,-77.226144,,,,,,0
1046,21046,CLOPPER RD & FIRSTFIELD RD,,39.143831,-77.224336,,,,,,0
1048,21048,CLOPPER RD & FIRSTFIELD RD,,39.14364,-77.223463,,,,,,0
1050,21050,CLOPPER RD & @716,,39.144921,-77.226147,,,,,,0
1052,21052,CLOPPER RD & METROPOLITAN GROVE RD,,39.146217,-77.228416,,,,,,0
1054,21054,CLOPPER RD & WEINSCHEL LN,,39.147209,-77.230415,,,,,,0
1056,21056,CLOPPER RD & WATKINS MILL RD,,39.147712,-77.233283,,,,,,0
1058,21058,CLOPPER RD & SULLNICH WY,,39.148323,-77.237198,,,,,,0
1060,21060,CLOPPER RD & STONERIDGE DR,,39.149255,-77.241087,,,,,,0
