route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2753,1,133146,Cross County to Manassas,CC1,0,52390,10560,0,0
2753,1,133145,Cross County to Manassas,CC2,0,52390,10560,0,0
2753,1,133148,Cross County to Manassas,CC3,0,52390,10560,0,0
2753,1,133151,Cross County to Manassas,CC4,0,52392,10560,0,0
2753,1,133144,Cross County to Manassas,CC5,0,52390,10560,0,0
2753,1,133149,Cross County to Manassas,CC6,0,52392,10560,0,0
2753,1,133143,Cross County to Manassas,CC7,0,52390,10560,0,0
2753,1,133147,Cross County to Manassas,CC8,0,52392,10560,0,0
2753,1,133150,Cross County to Manassas,CC9,0,52390,10560,0,0
2753,1,133142,Cross County to Manassas,CC10,0,52392,10560,0,0
2753,1,133141,Cross County to Manassas,CC11,0,52390,10560,0,0
2753,1,133162,Cross County to Woodbridge,CC51,1,52391,10561,0,0
2753,1,133161,Cross County to Woodbridge,CC52,1,52390,10561,0,0
2753,1,133160,Cross County to Woodbridge,CC53,1,52390,10561,0,0
2753,1,133159,Cross County to Woodbridge,CC54,1,52390,10561,0,0
2753,1,133153,Cross County to Woodbridge,CC55,1,52392,10561,0,0
2753,1,133158,Cross County to Woodbridge,CC56,1,52390,10561,0,0
2753,1,133157,Cross County to Woodbridge,CC57,1,52392,10561,0,0
2753,1,133156,Cross County to Woodbridge,CC58,1,52390,10561,0,0
2753,1,133152,Cross County to Woodbridge,CC59,1,52392,10561,0,0
2753,1,133155,Cross County to Woodbridge,CC60,1,52390,10561,0,0
2753,1,133154,Cross County to Woodbridge,CC61,1,52392,10561,0,0
2754,1,130537,State Department / Washington DC,D101,0,51342,10562,0,0
2754,1,130535,State Department / Washington DC,D102,0,51340,10562,0,0
2754,1,130531,State Department / Washington DC,D103T,0,51338,10563,0,0
2754,1,130532,State Department / Washington DC,D104,0,51339,10562,0,0
2754,1,130536,State Department / Washington DC,D105,0,51341,10562,0,0
2754,1,130548,State Department / Washington DC,D106,0,51345,10562,0,0
2754,1,130547,State Department / Washington DC,D107,0,51352,10562,0,0
2754,1,130543,State Department / Washington DC,D108T,0,51348,10563,0,0
2754,1,130542,State Department / Washington DC,D109,0,51347,10562,0,0
2754,1,130538,State Department / Washington DC,D110,0,51343,10562,0,0
2754,1,130530,State Department / Washington DC,D111T,0,51337,10563,0,0
2754,1,130549,State Department / Washington DC,D112,0,51353,10564,0,0
2754,1,130546,State Department / Washington DC,D113,0,51351,10564,0,0
2754,1,130529,State Department / Washington DC,D114,0,51336,10564,0,0
2754,1,130533,State Department / Washington DC,D115T,0,51340,10565,0,0
2754,1,130545,State Department / Washington DC,D116,0,51350,10564,0,0
2754,1,130550,State Department / Washington DC,D117,0,51354,10564,0,0
2754,1,130544,State Department / Washington DC,D118,0,51349,10564,0,0
2754,1,130534,State Department / Washington DC,D119T,0,51341,10565,0,0
2754,1,130541,State Department / Washington DC,D120,0,51346,10564,0,0
2754,1,130540,State Department / Washington DC,D121,0,51345,10564,0,0
2754,1,130539,State Department / Washington DC,D122,0,51344,10564,0,0
2754,1,130528,State Department / Washington DC,D123T,0,51335,10565,0,0
2754,1,130551,Pentagon / Horner Rd / Potomac Mills / PRTC,D101T,1,51355,10568,0,0
2754,1,130553,Pentagon / Horner Rd / Potomac Mills / PRTC,D102T,1,51357,10568,0,0
2754,1,130566,Pentagon / Horner / Dale City Lot via PRTC,D103,1,51370,10570,0,0
2754,1,130571,Horner / Dale City Lot via PRTC,D104,1,51375,10567,0,0
2754,1,130554,Horner / Dale City Lot via PRTC,D105,1,51358,10567,0,0
2754,1,130555,Horner / Dale City Lot via PRTC,D106,1,52509,10567,0,0
2754,1,130556,Horner / Dale City Lot via PRTC,D107,1,52412,10567,0,0
2754,1,130569,Horner / Dale City Lot via PRTC,D108,1,51373,10567,0,0
2754,1,130552,Horner / Dale City Lot via PRTC,D109N,1,51356,10569,0,0
2754,1,130557,Horner / Dale City Lot via PRTC,D110,1,51361,10567,0,0
2754,1,130558,Horner / Dale City Lot via PRTC,D111,1,51362,10567,0,0
2754,1,130559,Horner / Dale City Lot via PRTC,D112,1,51363,10567,0,0
2754,1,130560,Horner / Dale City Lot via PRTC,D113,1,51364,10567,0,0
