route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11318,534,182946,Georgetown,,1,103,8550,1,1
11322,535,183519,Congress Heights,,1,705,8819,1,1
11321,537,184590,Dupont Circle,,0,606,8548,1,1
11322,490,177944,Congress Heights,,1,702,8819,1,1
11323,491,177972,National Mall,,0,801,7685,1,1
11319,534,186567,McPherson Square Metro,,0,212,8557,1,1
11321,537,182936,Dupont Circle,,0,606,8548,1,1
11319,493,176434,Woodley Park,,1,208,8556,1,1
11322,491,176352,Congress Heights,,1,706,8819,1,1
11322,536,184646,Congress Heights,,1,707,8819,1,1
11320,492,176252,L'Enfant Plaza,,1,505,8822,1,1
11318,536,182834,Georgetown,,1,112,8550,1,1
11319,491,179748,Woodley Park,,1,210,8556,1,1
11321,491,179293,Rosslyn,,1,606,8549,1,1
11319,534,186285,Woodley Park,,1,202,8556,1,1
11318,535,183424,Georgetown,,1,103,8550,1,1
11322,491,178637,Congress Heights,,1,706,8819,1,1
11321,491,176724,Dupont Circle,,0,602,8548,1,1
11321,535,182984,Dupont Circle,,0,604,8548,1,1
11318,491,177586,Georgetown,,1,112,8550,1,1
11319,493,176759,McPherson Square Metro,,0,204,8557,1,1
11319,537,185078,Woodley Park,,1,203,8556,1,1
11318,490,178556,Georgetown,,1,115,8550,1,1
11321,491,179870,Dupont Circle,,0,604,8548,1,1
11318,490,175952,Georgetown,,1,112,8550,1,1
11321,490,178373,Dupont Circle,,0,602,8548,1,1
11321,534,183781,Dupont Circle,,0,604,8548,1,1
11319,493,179032,Woodley Park,,1,208,8556,1,1
11320,534,184086,Eastern Market,,0,501,8823,1,1
11321,534,184018,Dupont Circle,,0,602,8548,1,1
11319,536,183526,McPherson Square Metro,,0,201,8557,1,1
11320,493,176561,L'Enfant Plaza,,1,501,8822,1,1
